index,date,pres,link,exec
254,18761123,USG,http://www.presidency.ucsb.edu/ws/index.php?pid=70548,
255,18770509,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68642,
256,18770526,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68653,
257,18770622,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68664,
258,18770807,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68518,
259,18771102,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68591,
260,18771231,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68628,
261,18780527,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68629,
262,18790204,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68674,
263,18800527,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68557,
264,18810222,RBH,http://www.presidency.ucsb.edu/ws/index.php?pid=68584,
265,18810528,JAG,http://www.presidency.ucsb.edu/ws/index.php?pid=69145,
266,18811019,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=69125,
267,18820330,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68784,
268,18820526,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68785,
269,18820713,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68788,
270,18830326,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68837,
271,18830402,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68838,
272,18830507,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68839,
273,18830521,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68840,
274,18831013,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68841,
275,18831205,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68978,
276,18831217,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68979,
277,18840118,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68980,
278,18840208,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68981,
279,18840312,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68982,
280,18840409,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68983,
281,18840423,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68984,
282,18840423,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68985,
283,18840513,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68987,
284,18840526,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68988,
285,18840612,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68989,
286,18840708,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68990,
287,18840710,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68991,
288,18840716,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68992,
289,18840718,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68993,
290,18840722,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68994,
291,18840905,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68995,
292,18841110,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=68996,
293,18841205,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=69070,
294,18850124,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=69071,
295,18850211,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=69072,
296,18850217,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=69073,
297,18850226,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=69074,
298,18850227,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=69076,
299,18850303,CAA,http://www.presidency.ucsb.edu/ws/index.php?pid=69077,
300,18850318,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71286,
301,18850425,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71297,
302,18850512,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71308,
303,18850526,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71319,
304,18850602,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71330,
305,18850615,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71341,
306,18850716,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71352,
307,18850723,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71364,
308,18850723,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71375,
309,18850723,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71386,
310,18850805,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71868,
311,18850806,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71397,
312,18850923,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71408,
313,18851001,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71419,
314,18851001,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71430,
315,18851024,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71441,
316,18851029,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71452,
317,18851125,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71462,
318,18851125,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71474,
319,18851125,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71485,
320,18851127,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71496,
321,18851128,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71507,
322,18851212,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71420,
323,18860209,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71421,
324,18860412,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71422,
325,18860520,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71423,
326,18860703,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71424,
327,18860714,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71425,
328,18860813,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71426,
329,18861116,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71427,
330,18861118,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71428,
331,18861118,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71429,
332,18861120,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71431,
333,18870104,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71510,
334,18870115,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71511,
335,18870422,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71512,
336,18870430,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71515,
337,18870505,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71513,
338,18870509,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71514,
339,18870526,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71516,
340,18870601,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71520,
341,18870607,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71517,
342,18870616,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71519,
343,18870825,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71521,
344,18871024,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71522,
345,18880202,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71754,
346,18880301,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71755,
347,18880321,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71756,
348,18880323,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71757,
349,18880526,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71758,
350,18880605,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71759,
351,18880618,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71760,
352,18880702,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71761,
353,18880702,GC,http://www.presidency.ucsb.edu/ws/index.php?pid=71763,
