index,date,pres,filename,link,title
2364,19511214,HST,19511214_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78365,"Executive Order 10313—Amendment of Executive Order No. 10011 of October 22, 1948, as Amended, Authorizing the Secretary of State to Exercise Certain Powers of the President with Respect to the Granting of Allowances and Allotments to Government Personnel on Foreign Duty"
2365,19511217,HST,19511217_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78366,"Executive Order 10314—Creating an Emergency Board to Investigate a Dispute Between the Pan American World Airways, Inc., and Certain of Its Employees"
2366,19511219,HST,19511219_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78368,Executive Order 10315—Exemption of William E. Lee from Compulsory Retirement for Age
2367,19511229,HST,19511229_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=106489,"Executive Order 10316—Inspection of Income, Excess-Profits, Declared Value Excess-Profits, Capital Stock, Estate, and Gift Tax Returns by the Senate Committee on Armed Services"
2368,19511229,HST,19511229_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78369,Executive Order 10317—Establishing the President's Commission of the Health Needs of the Nation
2369,19520103,HST,19520103_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78440,Executive Order 10318—Establishing the Missouri Basin Survey Commission
2370,19520104,HST,19520104_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78518,"Executive Order 10319—Creating an Emergency Board to Investigate a Dispute Between the Northwest Airlines, Inc., and Certain of Its Employees"
2371,19520121,HST,19520121_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78452,Executive Order 10320—Further Exemption of Lawrence M. Lawson from Compulsory Retirement for Age
2372,19520124,HST,19520124_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=106496,"Executive Order 10321—Inspection of Income, Excess-Profits, Declared Value Excess-Profits, Capital Stock, Estate, and Gift Tax Returns by the Senate Committee on Rules and Administration"
2373,19520126,HST,19520126_Executive_Order_HST.txt,http://www.presidency.ucsb.edu/ws/index.php?pid=78460,"Executive Order 10322—Amendment of Section 1 of Executive Order No. 10046 of March 24, 1949, as Amended, Transferring Certain Lands from the Department of Agriculture to the Department of Interior"
